#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ジャギィアーム,0,1,2,1,1,2,10,102,-2,0,0,0,1,研ぎ師,4,効果持続,-2,気絶,1,,,,,狗竜の爪,2,狗竜の皮,3,ジャギィの鱗,2,大地の結晶,2
ジャギィガード,0,2,2,1,1,2,5,57,-1,1,1,1,2,装填速度,4,効果持続,-2,気絶,1,,,,,狗竜の爪,2,狗竜の皮,3,ジャギィの鱗,2,大地の結晶,2
クンチュウアーム,0,1,2,1,1,2,12,102,2,2,2,2,2,防御,6,雷耐性,-2,,,,,,,盾虫の甲殻,5,とがった牙,3,鉄鉱石,2,のりこねバッタ,1
クンチュウガード,0,2,2,1,1,2,6,57,3,3,3,3,3,防御,6,雷耐性,-2,,,,,,,盾虫の甲殻,5,とがった牙,3,鉄鉱石,2,のりこねバッタ,1
ゲネポスアーム,0,1,2,1,2,3,12,102,1,1,-2,-3,2,特殊攻撃,3,回復速度,-2,麻痺,1,,,,,ドスゲネポスの皮,2,ゲネポスの鱗,3,鉄鉱石,2,ゲネポスの麻痺牙,5
ゲネポスガード,0,2,2,1,2,3,6,57,2,2,-1,-2,3,特殊攻撃,3,回復速度,-2,麻痺,1,,,,,ドスゲネポスの皮,2,ゲネポスの鱗,3,鉄鉱石,2,ゲネポスの麻痺牙,5
ランポスアーム,0,1,2,0,1,2,13,103,0,0,0,-4,2,攻撃,4,千里眼,2,麻痺,-2,気絶,1,,,ドスランポスの爪,2,ドスランポスの皮,3,ランポスの鱗,2,大地の結晶,3
ランポスガード,0,2,2,0,1,2,7,58,1,1,1,-3,3,攻撃,4,千里眼,2,麻痺,-2,気絶,1,,,ドスランポスの爪,2,ドスランポスの皮,3,ランポスの鱗,2,大地の結晶,3
アシラアーム,0,1,2,1,99,3,13,103,-2,1,0,-1,1,高速収集,3,食いしん坊,1,腹減り,-2,ハチミツ,2,,,青熊獣の甲殻,2,青熊獣の毛,2,甲虫の腹袋,1,,
アシラガード,0,2,2,1,99,3,7,58,-1,2,1,0,2,高速収集,3,食いしん坊,1,腹減り,-2,ハチミツ,2,,,青熊獣の甲殻,2,青熊獣の毛,2,甲虫の腹袋,1,,
ハイメタアーム,0,1,2,1,2,4,14,102,-2,-2,3,-1,0,砲術,2,体力,1,スタミナ,-1,,,,,ドラグライト鉱石,3,マカライト鉱石,2,鉄鉱石,4,とがった爪,2
ハイメタガード,0,2,2,1,2,4,7,58,-1,-1,4,0,1,砲術,2,体力,1,スタミナ,-1,,,,,ドラグライト鉱石,3,マカライト鉱石,2,鉄鉱石,4,とがった爪,2
バトルアーム,0,1,2,1,3,5,14,102,2,-2,-2,-1,0,攻撃,2,聴覚保護,-2,ガード性能,3,,,,,翼蛇竜の皮,1,暖かい毛皮,1,コンガの毛,5,大地の結晶,2
バトルガード,0,2,2,1,3,5,7,58,3,-1,-1,0,1,攻撃,2,聴覚保護,-2,ガード強化,3,,,,,翼蛇竜の皮,1,暖かい毛皮,1,コンガの毛,5,大地の結晶,2
ケチャアーム,0,1,2,1,1,3,14,102,-3,2,-2,0,2,運気,-2,水属性攻撃,3,気まぐれ,1,,,,,奇猿狐の毛,3,奇猿狐の長骨,2,竜骨【小】,2,ツタの葉,3
ケチャガード,0,2,2,1,1,3,7,58,-2,3,-1,1,3,運気,-2,水属性攻撃,3,気まぐれ,1,,,,,奇猿狐の毛,3,奇猿狐の長骨,2,竜骨【小】,2,ツタの葉,3
ゲリョスアーム,0,1,2,2,1,3,14,102,-4,1,2,-2,0,スタミナ,3,腹減り,-2,毒,2,,,,,ゴム質の皮,3,大地の結晶,2,マカライト鉱石,2,,
ゲリョスガード,0,2,2,2,1,3,7,58,-3,2,3,-1,1,スタミナ,3,腹減り,-2,毒,2,,,,,ゴム質の皮,3,大地の結晶,2,マカライト鉱石,2,,
コンガアーム,0,1,2,1,2,4,14,102,-3,1,1,-1,2,細菌学,2,食いしん坊,1,腹減り,-2,,,,,桃毛獣の毛,2,とがった爪,3,獣骨,4,キラビートル,1
コンガガード,0,2,2,1,2,4,7,58,-2,2,2,0,3,細菌学,2,食いしん坊,1,腹減り,-2,,,,,桃毛獣の毛,2,とがった爪,3,獣骨,4,キラビートル,1
ルドロスアーム,0,1,2,1,99,3,15,103,-3,2,-1,-1,1,スタミナ,1,水属性攻撃,3,雷耐性,-2,耐暑,2,,,水獣の爪,1,ランポスの鱗,2,海綿質の皮,2,水袋,2
ルドロスガード,0,2,2,1,99,3,7,58,-2,3,0,0,2,スタミナ,1,水属性攻撃,3,雷耐性,-1,耐暑,2,,,水獣の爪,1,ランポスの鱗,2,海綿質の皮,2,水袋,2
ウルクアーム,0,1,2,1,2,4,15,103,-2,2,-1,2,2,回避距離,2,耐暑,-1,耐寒,3,,,,,白兎獣の氷爪,2,白兎獣の毛,2,白兎獣の腹甲,1,肉厚な皮,4
ウルクガード,0,2,2,1,2,4,8,58,-1,3,0,3,3,回避距離,2,耐暑,-1,耐寒,3,,,,,白兎獣の氷爪,2,白兎獣の毛,2,白兎獣の腹甲,1,肉厚な皮,4
イーオスアーム,0,1,2,1,3,5,15,103,0,-3,-3,2,2,特殊攻撃,3,毒,1,気絶,-2,,,,,ドスイーオスの皮,1,イーオスの毒牙,5,イーオスの鱗,2,鉄鉱石,2
イーオスガード,0,2,2,1,3,5,8,58,1,-2,-2,3,3,特殊攻撃,3,毒,1,気絶,-2,,,,,ドスイーオスの皮,1,イーオスの毒牙,5,イーオスの鱗,2,鉄鉱石,2
ガブラスーツグラブ,0,1,2,2,3,99,15,103,1,-2,2,1,-3,属性解放,2,属性耐性,-1,毒,1,,,,,縞模様の皮,5,火竜の翼膜,2,キラビートル,1,蟲のコイン,1
ガブラスーツハンド,0,2,2,2,3,99,8,58,2,-1,3,2,-2,属性解放,2,属性耐性,-1,毒,1,,,,,縞模様の皮,5,火竜の翼膜,2,キラビートル,1,蟲のコイン,1
カブラアーム,0,1,2,1,1,3,16,104,2,-3,-2,0,1,防御,2,採取,-1,体力,1,研ぎ師,2,,,鬼蛙の爪,1,鬼蛙の甲殻,2,鬼蛙の鱗,2,カワズの油,2
カブラガード,0,2,2,1,1,3,8,58,3,-2,-1,1,2,装填速度,2,防御,2,採取,-1,体力,1,,,鬼蛙の爪,1,鬼蛙の甲殻,2,鬼蛙の鱗,2,カワズの油,2
クックアーム,0,1,2,0,1,2,16,104,2,-1,-2,-3,2,攻撃,3,火属性攻撃,3,水耐性,-1,,,,,怪鳥の鱗,3,怪鳥の甲殻,2,怪鳥の翼膜,2,,
クックガード,0,2,2,0,1,2,8,58,3,0,-1,-2,3,攻撃,3,火属性攻撃,3,水耐性,-1,,,,,怪鳥の鱗,3,怪鳥の甲殻,2,怪鳥の翼膜,2,,
キングロブスタアーム,0,1,4,1,99,4,16,104,-2,5,-5,2,-2,回避性能,2,回避距離,1,火耐性,-3,,,,,エビの小殻,2,化け鮫のヒレ,1,カワズの油,2,大地の結晶,4
キングロブスタガード,0,2,4,1,99,4,8,58,-1,6,-4,3,-1,回避性能,2,回避距離,1,火耐性,-3,,,,,エビの小殻,2,化け鮫のヒレ,1,カワズの油,2,大地の結晶,4
ボロスアーム,0,1,2,1,99,4,18,106,-4,4,1,-2,0,攻撃,3,防御,2,ガード性能,1,腹減り,-2,,,土砂竜の甲殻,2,草食竜の甲殻,3,竜骨【小】,4,,
ボロスガード,0,2,2,0,99,4,8,58,-3,5,2,-1,1,攻撃,3,防御,1,精密射撃,4,腹減り,-2,,,土砂竜の甲殻,2,草食竜の甲殻,3,竜骨【小】,4,,
インゴットアーム,0,1,3,1,3,5,18,106,-2,-2,2,0,0,ガード強化,1,納刀,3,雷属性攻撃,2,気まぐれ,-2,,,紅蓮石,1,ドラグライト鉱石,4,鉄鉱石,8,マカライト鉱石,5
インゴットガード,0,2,3,1,3,5,8,58,-1,-1,3,1,1,反動,2,散弾強化,2,雷属性攻撃,2,気まぐれ,-2,,,紅蓮石,1,ドラグライト鉱石,4,鉄鉱石,8,マカライト鉱石,5
バサルアーム,0,1,2,1,2,3,18,106,0,-2,1,1,-3,耐暑,2,毒,2,麻痺,-2,睡眠,1,,,岩竜の甲殻,3,マカライト鉱石,5,毒袋,3,大地の結晶,10
バサルガード,0,2,2,1,2,3,9,59,1,-1,2,2,-2,耐暑,2,毒,2,麻痺,-2,睡眠,1,,,岩竜の甲殻,3,マカライト鉱石,5,毒袋,3,大地の結晶,10
ガーディアンアーム,1,1,4,1,2,99,18,106,0,0,0,0,0,採取,-2,砲術,4,加護,2,,,,,ドラグライト鉱石,2,闘技王のコイン,3,鳥竜のコイン,3,,
ガーディアンガード,1,2,4,1,2,99,9,59,1,1,1,1,1,採取,-2,広域,3,加護,2,,,,,ドラグライト鉱石,2,闘技王のコイン,3,鳥竜のコイン,3,,
ヘルパーグラブ,2,1,4,1,2,99,18,106,0,0,0,0,0,採取,-2,砲術,4,加護,2,,,,,ドラグライト鉱石,2,闘技王のコイン,3,鳥竜のコイン,3,,
ヘルパーカフス,2,2,4,1,2,99,9,59,1,1,1,1,1,採取,-2,広域,3,加護,2,,,,,ドラグライト鉱石,2,闘技王のコイン,3,鳥竜のコイン,3,,
ロワーガマーノ,1,1,4,1,3,5,18,106,-4,0,3,-1,1,属性解放,1,聴覚保護,1,龍属性攻撃,3,加護,-3,,,オオクワアゲハ,1,レビテライト鉱石,2,アルビノエキス,5,にが虫,10
ロワーガブラッソ,1,2,4,1,3,5,9,59,-3,1,4,0,2,属性解放,1,聴覚保護,1,龍属性攻撃,3,加護,-3,,,オオクワアゲハ,1,レビテライト鉱石,2,アルビノエキス,5,にが虫,10
ファルメルマーノ,2,1,4,1,3,5,18,106,-4,0,3,-1,1,属性解放,1,聴覚保護,1,龍属性攻撃,3,加護,-3,,,オオクワアゲハ,1,レビテライト鉱石,2,アルビノエキス,5,にが虫,10
ファルメルブラッソ,2,2,4,1,3,5,9,59,-3,1,4,0,2,属性解放,1,聴覚保護,1,龍属性攻撃,3,加護,-3,,,オオクワアゲハ,1,レビテライト鉱石,2,アルビノエキス,5,にが虫,10
マギュルラーマ,0,1,4,0,99,4,19,107,-4,1,0,2,0,重撃,2,溜め短縮,3,調合成功率,1,調合数,2,回復速度,3,ペピポパンプキン,2,キラビートル,2,ツラヌキの実,10,トウガラシ,10
マギュルアスト,0,2,4,0,99,4,9,59,-3,2,1,3,1,重撃,2,溜め短縮,3,調合成功率,1,調合数,2,回復速度,3,ペピポパンプキン,2,キラビートル,2,ツラヌキの実,10,トウガラシ,10
スキュラアーム,0,1,2,0,2,4,19,107,-2,2,-2,1,2,観察眼,1,腹減り,-2,高速設置,4,睡眠,3,,,影蜘蛛の爪,2,影蜘蛛の甲殻,2,モンスターの体液,2,盾虫の甲殻,2
スキュラガード,0,2,2,0,2,4,9,59,-1,3,-1,2,3,観察眼,1,腹減り,-2,高速設置,4,睡眠,3,,,影蜘蛛の爪,2,影蜘蛛の甲殻,2,モンスターの体液,2,盾虫の甲殻,2
フルフルアーム,0,1,2,1,2,4,19,107,-4,1,1,2,1,雷属性攻撃,3,回復量,2,,,,,,,アルビノの中落ち,1,ブヨブヨした皮,2,鉄鉱石,6,雷光虫,1
フルフルガード,0,2,2,1,2,4,10,60,-3,2,2,3,2,雷属性攻撃,3,回復量,2,,,,,,,アルビノの中落ち,1,ブヨブヨした皮,2,鉄鉱石,6,雷光虫,1
レイアアーム,0,1,2,1,2,4,19,107,2,0,-2,0,-3,体力,1,火属性攻撃,3,回復速度,-2,,,,,火竜の翼爪,2,雌火竜の甲殻,2,雌火竜の棘,1,大地の結晶,5
レイアガード,0,2,2,1,2,4,10,60,3,1,-1,1,-2,体力,1,火属性攻撃,3,回復速度,-2,,,,,火竜の翼爪,2,雌火竜の甲殻,2,雌火竜の棘,1,大地の結晶,5
アーティアアーム,0,1,3,1,3,5,20,108,0,-3,-3,1,2,ガード強化,1,研ぎ師,-5,気力回復,5,,,,,さびた破片,4,レビテライト鉱石,3,大地の結晶,10,,
アーティアガード,0,2,3,1,3,5,10,60,1,-2,-2,2,3,装填速度,-5,反動,5,精密射撃,1,,,,,さびた破片,4,レビテライト鉱石,3,大地の結晶,10,,
ザボアアーム,0,1,2,1,2,4,20,108,-2,2,-3,2,0,氷属性攻撃,3,肉食,1,腹減り,-2,,,,,化け鮫のヒレ,1,化け鮫の鱗,2,化け鮫の皮,3,氷結袋,3
ザボアガード,0,2,2,1,2,4,10,60,-1,3,-2,3,1,氷属性攻撃,3,肉食,1,腹減り,-2,,,,,化け鮫のヒレ,1,化け鮫の鱗,2,化け鮫の皮,3,氷結袋,3
ガララアーム,0,1,2,0,2,4,20,108,1,-2,0,-4,1,捕獲,3,聴覚保護,2,気まぐれ,-2,麻痺,3,,,絞蛇竜の牙,3,絞蛇竜の骨髄,1,絞蛇竜の鳴甲,2,垂皮竜の皮,3
ガララガード,0,2,2,0,2,4,10,60,2,-1,1,-3,2,捕獲,3,聴覚保護,2,気まぐれ,-2,麻痺,3,,,絞蛇竜の牙,3,絞蛇竜の骨髄,1,絞蛇竜の鳴甲,2,垂皮竜の皮,3
ガノスアーム,0,1,4,1,99,4,20,108,-4,3,-5,2,2,捕獲,3,スタミナ,2,耐暑,2,高速設置,4,,,水竜の鱗,3,肉厚な皮,2,カワズの油,2,,
ガノスガード,0,2,4,1,99,4,10,60,-3,4,-4,3,3,捕獲,2,スタミナ,1,耐暑,2,高速設置,4,,,水竜の鱗,3,肉厚な皮,2,カワズの油,2,,
ギルドバードアーム,1,1,4,1,3,99,20,108,0,0,0,0,0,運気,3,広域,4,気配,-3,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3
ギルドバードカフス,1,2,4,1,3,99,10,60,1,1,1,1,1,運気,3,広域,4,気配,-3,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3
スカラーグラブ,2,1,4,1,3,99,20,108,0,0,0,0,0,運気,3,広域,4,気配,-3,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3
スカラーカフス,2,2,4,1,3,99,10,60,1,1,1,1,1,運気,3,広域,4,気配,-3,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3
ジンオウアーム,0,1,3,1,3,5,21,109,0,-2,2,-4,1,本気,1,雷属性攻撃,3,気配,-2,,,,,雷狼竜の爪,3,雷狼竜の逆鱗,1,雷狼竜の帯電毛,2,超電雷光虫,2
ジンオウガード,0,2,3,1,3,5,10,60,1,-1,3,-3,2,本気,1,雷属性攻撃,3,気配,-2,,,,,雷狼竜の爪,3,雷狼竜の逆鱗,1,雷狼竜の帯電毛,2,超電雷光虫,2
セルタスアーム,0,1,3,2,3,5,21,109,-3,3,-1,-2,2,砲術,2,斬れ味,1,気力回復,-2,,,,,重甲虫の胸殻,3,重甲虫の甲殻,5,重甲虫の大顎,2,モンスターの体液,3
セルタスガード,0,2,3,2,3,5,10,60,-2,3,0,-1,3,砲術,2,榴弾追加,2,気力回復,-2,,,,,重甲虫の胸殻,3,重甲虫の甲殻,5,重甲虫の大顎,2,モンスターの体液,3
ハプルアーム,0,1,2,1,99,5,21,109,2,0,-2,-4,1,納刀,3,食事,2,,,,,,,鮮やかな体液,1,大きな骨,2,甲虫の大顎,2,,
ハプルガード,0,2,2,1,99,5,10,60,3,1,-1,-3,2,納刀,3,食事,2,,,,,,,鮮やかな体液,1,大きな骨,2,甲虫の大顎,2,,
ギザミアーム,0,1,2,1,99,5,21,109,1,2,-1,-1,0,匠,2,達人,-2,斬れ味,1,研ぎ師,3,,,鎌蟹の鋏,1,鎌蟹の甲殻,2,とがった爪,2,,
ギザミガード,0,2,2,1,99,5,10,60,2,3,0,0,1,防御,-1,貫通弾強化,2,貫通弾追加,1,精密射撃,2,,,鎌蟹の鋏,1,鎌蟹の甲殻,2,とがった爪,2,,
ゴアアーム,0,1,3,2,3,5,21,109,-4,2,-3,1,-2,細菌学,3,闘魂,1,火耐性,-3,,,,,黒蝕竜の惨爪,2,黒蝕竜の鱗,2,黒蝕竜の甲殻,4,ドラグライト鉱石,5
ゴアガード,0,2,3,2,3,5,11,61,-3,3,-2,2,-1,細菌学,3,闘魂,1,火耐性,-3,,,,,黒蝕竜の惨爪,2,黒蝕竜の鱗,2,黒蝕竜の甲殻,4,ドラグライト鉱石,5
レックスアーム,0,1,3,1,3,5,22,110,2,-1,-4,0,-2,攻撃,2,研ぎ師,-2,食いしん坊,2,,,,,轟竜の牙,4,轟竜の鱗,3,轟竜の爪,4,狗竜の皮,2
レックスガード,0,2,3,1,3,5,11,61,3,0,-3,1,-1,反動,-2,攻撃,2,食いしん坊,2,,,,,轟竜の牙,4,轟竜の鱗,3,轟竜の爪,4,狗竜の皮,2
ブラキアーム,0,1,3,2,3,6,22,110,2,-4,0,-2,0,闘魂,1,回避性能,-2,爆弾強化,2,,,,,砕竜の黒曜甲,3,砕竜の拳,2,なぞの粘菌,3,紅蓮石,5
ブラキガード,0,2,3,2,3,6,11,61,3,-3,1,-1,1,闘魂,1,回避性能,-2,爆弾強化,3,,,,,砕竜の黒曜甲,3,砕竜の拳,2,なぞの粘菌,3,紅蓮石,5
ナルガアーム,0,1,3,2,99,5,22,110,-2,1,-4,1,1,痛撃,1,回避性能,2,スタミナ,-2,回避距離,1,,,迅竜の刃翼,3,上竜骨,5,垂皮竜の皮,5,,
ナルガガード,0,2,3,2,99,5,11,61,-1,2,-3,2,2,痛撃,1,回避性能,2,スタミナ,-2,回避距離,1,,,迅竜の刃翼,3,上竜骨,5,垂皮竜の皮,5,,
グラビドアーム,0,1,3,2,3,5,23,111,2,-3,0,1,-2,防御,1,ガード性能,2,スタミナ,-2,,,,,鎧竜の甲殻,6,睡眠袋,4,竜骨【大】,5,ドラグライト鉱石,3
グラビドガード,0,2,3,2,3,5,12,62,3,-2,1,2,-1,反動,2,防御,1,スタミナ,-2,,,,,鎧竜の甲殻,6,睡眠袋,4,竜骨【大】,5,ドラグライト鉱石,3
レウスアーム,0,1,3,1,3,5,23,111,2,0,-2,0,-3,攻撃,5,火属性攻撃,2,回復量,-2,,,,,火竜の尻尾,1,火竜の翼爪,1,火竜の骨髄,2,ドラグライト鉱石,3
レウスガード,0,2,3,1,3,5,12,62,3,1,-1,1,-2,攻撃,4,火属性攻撃,2,回復量,-2,,,,,火竜の尻尾,1,火竜の翼爪,1,火竜の骨髄,2,ドラグライト鉱石,3
ラヴァアーム,0,1,3,0,99,6,23,111,2,-3,0,0,1,ガード性能,2,千里眼,2,回復速度,3,気配,-2,,,溶岩竜の鱗,3,上竜骨,3,レビテライト鉱石,2,,
ラヴァガード,0,2,3,0,99,6,12,62,3,-2,1,1,2,反動,2,千里眼,2,回復速度,3,気配,-2,,,溶岩竜の鱗,3,上竜骨,3,レビテライト鉱石,2,,
ディアブロアーム,0,1,3,0,99,6,23,111,2,0,0,-4,0,抜刀会心,3,研ぎ師,-2,納刀,3,食事,3,耐震,3,上質なねじれた角,1,上竜骨,1,草食竜の甲殻,3,,
ディアブロガード,0,2,3,0,99,6,12,62,3,1,1,-3,1,反動,3,納刀,5,貫通弾強化,4,精密射撃,-2,,,上質なねじれた角,1,上竜骨,1,草食竜の甲殻,3,,
ガルルガアーム,0,1,3,3,3,5,24,112,1,-3,1,-2,0,剣術,-1,達人,2,聴覚保護,2,,,,,黒狼鳥の鱗,5,黒狼鳥の甲殻,4,黒狼鳥の翼,2,上竜骨,1
ガルルガガード,0,2,3,3,3,5,12,62,2,-2,2,-1,1,達人,2,聴覚保護,2,スタミナ,-1,,,,,黒狼鳥の鱗,5,黒狼鳥の甲殻,4,黒狼鳥の翼,2,上竜骨,1
ガンキンアーム,0,1,3,1,99,5,24,112,2,-4,1,-1,-2,防御,4,スタミナ,-1,減気攻撃,3,,,,,爆鎚竜の骨髄,1,爆鎚竜の耐熱殻,1,紅蓮石,1,,
ガンキンガード,0,2,3,1,99,5,12,62,3,-3,2,0,-1,防御,3,スタミナ,-1,通常弾強化,3,,,,,爆鎚竜の骨髄,1,爆鎚竜の耐熱殻,1,紅蓮石,1,,
ドボルアーム,0,1,3,1,99,6,24,112,-4,2,1,-2,1,攻撃,3,達人,-1,回復速度,2,,,,,尾槌竜の苔甲,4,竜骨【大】,3,草食竜の甲殻,3,,
ドボルガード,0,2,3,1,99,6,12,62,-3,3,2,-1,2,攻撃,3,達人,-1,回復速度,2,,,,,尾槌竜の苔甲,4,竜骨【大】,3,草食竜の甲殻,3,,
アークアーム,1,1,3,1,7,6,24,112,-3,3,0,1,-5,匠,2,本気,1,火耐性,-3,狂撃耐性,3,,,天廻龍の浄爪,2,天廻龍の鱗,2,天廻龍の甲殻,4,レビテライト鉱石,3
アークガード,1,2,3,1,7,6,12,62,-2,4,1,2,-4,本気,1,装填数,2,火耐性,-3,狂撃耐性,3,,,天廻龍の浄爪,2,天廻龍の鱗,2,天廻龍の甲殻,4,レビテライト鉱石,3
フィリアアーム,2,1,3,1,7,6,24,112,-3,3,0,1,-5,匠,2,本気,1,火耐性,-3,狂撃耐性,3,,,天廻龍の浄爪,2,天廻龍の鱗,2,天廻龍の甲殻,4,レビテライト鉱石,3
フィリアガード,2,2,3,1,7,6,12,62,-2,4,1,2,-4,本気,1,装填数,2,火耐性,-3,狂撃耐性,3,,,天廻龍の浄爪,2,天廻龍の鱗,2,天廻龍の甲殻,4,レビテライト鉱石,3
残陽【篭手】,1,1,3,0,4,6,26,112,2,1,-3,2,-3,抜刀減気,2,達人,3,底力,-3,スタミナ,2,,,豪山龍の紅鱗,6,豪山龍の腕甲,1,大地の龍玉,1,マカライト鉱石,3
東雲【篭手】,1,2,3,2,4,6,13,62,3,2,-2,3,-2,装填速度,-3,スタミナ,2,無傷,3,貫通弾強化,2,,,豪山龍の紅鱗,6,豪山龍の腕甲,1,大地の龍玉,1,マカライト鉱石,3
常磐【篭手】,2,1,3,0,4,6,26,112,2,1,-3,2,-3,抜刀減気,2,達人,3,底力,-3,スタミナ,2,,,豪山龍の紅鱗,6,豪山龍の腕甲,1,大地の龍玉,1,マカライト鉱石,3
八千代【篭手】,2,2,3,2,4,6,13,62,3,2,-2,3,-2,装填速度,-3,スタミナ,2,無傷,3,貫通弾強化,2,,,豪山龍の紅鱗,6,豪山龍の腕甲,1,大地の龍玉,1,マカライト鉱石,3
キリンアームロング,0,1,3,1,3,6,26,112,-2,-2,4,0,2,属性耐性,3,運気,-2,属性攻撃,2,,,,,キリンの皮,5,キリンのたてがみ,2,怪鳥の甲殻,3,雷光虫,5
キリングローブ,0,2,3,1,3,6,13,62,-1,-1,5,1,3,属性耐性,3,運気,-2,属性攻撃,2,,,,,キリンの皮,5,キリンのたてがみ,2,怪鳥の甲殻,3,雷光虫,5
暁丸【篭手】,1,1,3,1,99,6,26,112,-2,2,0,2,-4,剣術,3,スタミナ,-2,重撃,4,加護,1,,,老山龍の甲殻,3,老山龍の大爪,1,火竜の翼膜,2,,
曙丸【篭手】,1,2,3,1,99,6,13,62,-1,3,1,3,-3,スタミナ,-2,重撃,4,装填数,3,加護,1,,,老山龍の甲殻,3,老山龍の大爪,1,火竜の翼膜,2,,
凛【篭手】,2,1,3,1,99,6,26,112,-2,2,0,2,-4,剣術,3,スタミナ,-2,重撃,4,加護,1,,,老山龍の甲殻,3,老山龍の大爪,1,火竜の翼膜,2,,
艶【篭手】,2,2,3,1,99,6,13,62,-1,3,1,3,-3,スタミナ,-2,重撃,4,装填数,3,加護,1,,,老山龍の甲殻,3,老山龍の大爪,1,火竜の翼膜,2,,
ブルースターアーム,0,1,7,1,1,99,26,110,1,1,1,1,1,闘魂,3,水属性攻撃,3,采配,3,,,,,スタジオパス,1,ギルドチケット,3,火竜の翼爪,6,火竜の鱗,4
ブルースターカフス,0,2,7,1,1,99,13,64,2,2,2,2,2,闘魂,3,水属性攻撃,3,采配,3,,,,,スタジオパス,1,ギルドチケット,3,火竜の翼爪,6,火竜の鱗,4
ブレイブＳアーム,0,1,4,1,4,99,18,100,3,0,0,0,2,採取,5,体力,-3,回復速度,1,乗り,1,,,天空の結晶,2,上質な毛皮,1,ランポスの上鱗,2,ドラグライト鉱石,4
ブレイブＳガード,0,2,4,1,4,99,9,59,4,1,1,1,3,採取,5,体力,-3,回復速度,1,乗り,2,,,天空の結晶,2,上質な毛皮,1,ランポスの上鱗,2,ドラグライト鉱石,4
