#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ザボアグリーヴ,0,1,2,1,2,4,20,108,-2,2,-3,2,0,体力,3,氷属性攻撃,2,肉食,1,腹減り,-2,,,化け鮫の鱗,2,化け鮫の皮,4,化け鮫のヒレ,1,鮫肌の鱗,2
ザボアレギンス,0,2,2,1,2,4,10,60,-1,3,-2,3,1,体力,3,氷属性攻撃,2,肉食,1,腹減り,-2,,,化け鮫の鱗,2,化け鮫の皮,4,化け鮫のヒレ,1,鮫肌の鱗,2
ガララグリーヴ,0,1,2,1,2,4,20,108,1,-2,0,-4,1,捕獲,3,聴覚保護,1,気まぐれ,-2,麻痺,2,,,絞蛇竜の皮,3,絞蛇竜の甲殻,3,絞蛇竜の牙,3,垂皮竜の皮,3
ガララレギンス,0,2,2,1,2,4,10,60,2,-1,1,-3,2,捕獲,3,聴覚保護,1,気まぐれ,-2,麻痺,2,,,絞蛇竜の皮,3,絞蛇竜の甲殻,3,絞蛇竜の牙,3,垂皮竜の皮,3
ガノスグリーヴ,0,1,4,2,99,4,20,108,-4,3,-5,2,2,捕獲,2,スタミナ,4,耐暑,2,高速設置,2,,,水竜の鱗,1,水竜のヒレ,2,ライトクリスタル,2,,
ガノスレギンス,0,2,4,1,99,4,10,60,-3,4,-4,3,3,捕獲,2,スタミナ,4,耐暑,2,高速設置,2,,,水竜の鱗,1,水竜のヒレ,2,ライトクリスタル,2,,
ギルドバードブーツ,1,1,4,0,3,99,20,108,0,0,0,0,0,胴系統倍化,1,,,,,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3
ギルドバードフット,1,2,4,0,3,99,10,60,1,1,1,1,1,胴系統倍化,1,,,,,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3
スカラーソックス,2,1,4,0,3,99,20,108,0,0,0,0,0,胴系統倍化,1,,,,,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3
スカラーサンダル,2,2,4,0,3,99,10,60,1,1,1,1,1,胴系統倍化,1,,,,,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3
ジンオウグリーヴ,0,1,3,2,3,5,21,109,0,-2,2,-4,1,本気,1,雷属性攻撃,3,気配,-2,,,,,雷狼竜の蓄電殻,3,雷狼竜の甲殻,3,雷狼竜の爪,3,超電雷光虫,3
ジンオウレギンス,0,2,3,0,3,5,10,60,1,-1,3,-3,2,本気,1,雷属性攻撃,3,気配,-2,,,,,雷狼竜の蓄電殻,3,雷狼竜の甲殻,3,雷狼竜の爪,3,超電雷光虫,3
セルタスグリーヴ,0,1,3,1,3,5,21,109,-3,2,-1,-2,2,捕獲,3,砲術,1,斬れ味,2,気力回復,-2,,,重甲虫の爪,2,重甲虫の胸殻,4,重甲エキス,1,とがった牙,4
セルタスレギンス,0,2,3,1,3,5,10,60,-2,3,0,-1,3,砲術,1,装填数,3,榴弾追加,2,気力回復,-2,,,重甲虫の爪,2,重甲虫の胸殻,4,重甲エキス,1,とがった牙,4
ハプルグリーヴ,0,1,2,0,99,5,21,109,2,0,-2,-4,1,納刀,3,食事,3,,,,,,,潜口竜の皮,3,モンスターの体液,3,草食竜の甲殻,3,,
ハプルレギンス,0,2,2,0,99,5,10,60,3,1,-1,-3,2,納刀,3,食事,3,,,,,,,潜口竜の皮,3,モンスターの体液,3,草食竜の甲殻,3,,
ギザミグリーヴ,0,1,2,2,99,5,21,109,1,2,-1,-1,0,斬れ味,4,研ぎ師,2,,,,,,,鎌蟹の甲殻,2,マカライト鉱石,3,キラビートル,1,,
ギザミレギンス,0,2,2,1,99,5,10,60,2,3,0,0,1,防御,-1,貫通弾強化,2,貫通弾追加,1,精密射撃,1,,,鎌蟹の甲殻,2,マカライト鉱石,3,キラビートル,1,,
ゴアグリーヴ,0,1,3,2,3,5,21,109,-4,2,-3,1,-2,細菌学,1,闘魂,3,火耐性,-3,,,,,黒蝕竜の甲殻,3,黒蝕竜の鱗,1,黒蝕竜の逆鱗,1,翼蛇竜の皮,5
ゴアレギンス,0,2,3,2,3,5,11,61,-3,3,-2,2,-1,細菌学,1,闘魂,3,火耐性,-3,,,,,黒蝕竜の甲殻,3,黒蝕竜の鱗,1,黒蝕竜の逆鱗,1,翼蛇竜の皮,5
レックスグリーヴ,0,1,3,2,3,5,22,110,2,-1,-4,0,-2,攻撃,2,研ぎ師,-2,食いしん坊,2,,,,,轟竜の鱗,4,轟竜の爪,5,轟竜の甲殻,3,狗竜の皮,3
レックスレギンス,0,2,3,2,3,5,11,61,3,0,-3,1,-1,反動,-2,攻撃,2,食いしん坊,2,,,,,轟竜の鱗,4,轟竜の爪,5,轟竜の甲殻,3,狗竜の皮,3
ブラキグリーヴ,0,1,3,1,3,6,22,110,2,-4,0,-2,0,闘魂,2,回避性能,-2,爆弾強化,3,,,,,砕竜の甲殻,4,なぞの粘菌,2,砕竜の拳,2,ドラグライト鉱石,5
ブラキレギンス,0,2,3,1,3,6,11,61,3,-3,1,-1,1,闘魂,1,回避性能,-2,爆弾強化,2,,,,,砕竜の甲殻,4,なぞの粘菌,2,砕竜の拳,2,ドラグライト鉱石,5
ナルガグリーヴ,0,1,3,0,5,99,22,110,-2,1,-4,1,1,痛撃,2,回避性能,4,スタミナ,-2,回避距離,3,,,迅竜の黒毛,2,迅竜の骨髄,1,竜玉,1,,
ナルガレギンス,0,2,3,0,5,99,11,61,-1,2,-3,2,2,痛撃,2,回避性能,4,スタミナ,-2,回避距離,3,,,迅竜の黒毛,2,迅竜の骨髄,1,竜玉,1,,
グラビドグリーヴ,0,1,3,1,3,5,23,111,2,-3,0,1,-2,防御,3,ガード性能,2,スタミナ,-2,,,,,鎧竜の甲殻,5,火炎袋,3,上竜骨,2,ドスイーオスの皮,2
グラビドレギンス,0,2,3,1,3,5,12,62,3,-2,1,2,-1,反動,2,防御,3,スタミナ,-2,,,,,鎧竜の甲殻,5,火炎袋,3,上竜骨,2,ドスイーオスの皮,2
レウスグリーヴ,0,1,3,1,3,5,23,111,2,0,-2,0,-3,攻撃,3,火属性攻撃,1,回復量,-2,,,,,火竜の甲殻,3,火竜の鱗,4,火炎袋,2,ドラグライト鉱石,3
レウスレギンス,0,2,3,1,3,5,12,62,3,1,-1,1,-2,攻撃,3,火属性攻撃,1,回復量,-2,,,,,火竜の甲殻,3,火竜の鱗,4,火炎袋,2,ドラグライト鉱石,3
ラヴァグリーヴ,0,1,3,2,99,6,23,111,2,-3,0,0,1,ガード性能,2,回復速度,3,気配,-2,,,,,溶岩竜の鱗,3,溶岩竜のヒレ,1,イーオスの皮,5,,
ラヴァレギンス,0,2,3,2,99,6,12,62,3,-2,1,1,2,反動,2,回復速度,3,気配,-2,,,,,溶岩竜の鱗,3,溶岩竜のヒレ,1,イーオスの皮,5,,
ディアブログリーヴ,0,1,3,3,99,6,23,111,2,0,0,-4,0,剣術,3,研ぎ師,-2,納刀,1,耐震,1,,,角竜の甲殻,3,上竜骨,3,草食竜の甲殻,3,,
ディアブロレギンス,0,2,3,3,99,6,12,62,3,1,1,-3,1,納刀,1,根性,3,貫通弾強化,2,精密射撃,-2,,,角竜の甲殻,3,上竜骨,3,草食竜の甲殻,3,,
ガルルガグリーヴ,0,1,3,2,3,5,24,112,1,-3,1,-2,0,達人,4,聴覚保護,1,,,,,,,黒狼鳥の鱗,5,黒狼鳥の甲殻,4,のりこねバッタ,4,ドスゲネポスの皮,2
ガルルガレギンス,0,2,3,2,3,5,12,62,2,-2,2,-1,1,達人,4,聴覚保護,1,,,,,,,黒狼鳥の鱗,5,黒狼鳥の甲殻,4,のりこねバッタ,4,ドスゲネポスの皮,2
ガンキングリーヴ,0,1,3,0,99,5,24,112,2,-4,1,-1,-2,胴系統倍化,1,,,,,,,,,爆鎚竜の耐熱殻,2,盾虫の甲殻,4,火炎袋,3,,
ガンキンレギンス,0,2,3,0,99,5,12,62,3,-3,2,0,-1,胴系統倍化,1,,,,,,,,,爆鎚竜の耐熱殻,2,盾虫の甲殻,4,火炎袋,3,,
ドボルグリーヴ,0,1,3,1,99,6,24,112,-4,2,1,-2,1,攻撃,1,達人,-1,回復速度,3,,,,,尾槌竜の苔甲,4,大きな骨,5,暖かい毛皮,4,,
ドボルレギンス,0,2,3,1,99,6,12,62,-3,3,2,-1,2,攻撃,1,達人,-1,回復速度,3,,,,,尾槌竜の苔甲,4,大きな骨,5,暖かい毛皮,4,,
アークグリーヴ,1,1,3,2,7,6,24,112,-3,3,0,1,-5,匠,3,本気,3,火耐性,-3,狂撃耐性,1,,,天廻龍の甲殻,3,天廻龍の鱗,1,天廻龍の逆鱗,1,上竜骨,4
アークレギンス,1,2,3,2,7,6,12,62,-2,4,1,2,-4,本気,3,装填数,3,火耐性,-3,狂撃耐性,1,,,天廻龍の甲殻,3,天廻龍の鱗,1,天廻龍の逆鱗,1,上竜骨,4
フィリアグリーヴ,2,1,3,2,7,6,24,112,-3,3,0,1,-5,匠,3,本気,3,火耐性,-3,狂撃耐性,1,,,天廻龍の甲殻,3,天廻龍の鱗,1,天廻龍の逆鱗,1,上竜骨,4
フィリアレギンス,2,2,3,2,7,6,12,62,-2,4,1,2,-4,本気,3,装填数,3,火耐性,-3,狂撃耐性,1,,,天廻龍の甲殻,3,天廻龍の鱗,1,天廻龍の逆鱗,1,上竜骨,4
残陽【具足】,1,1,3,0,4,6,26,112,2,1,-3,2,-3,抜刀減気,3,達人,4,底力,-3,スタミナ,1,,,豪山龍の紅鱗,5,豪山龍の甲岩殻,6,ドラグライト鉱石,5,豪龍岩,3
東雲【袴】,1,2,3,0,4,6,13,62,3,2,-2,3,-2,装填速度,-3,スタミナ,2,無傷,3,貫通弾強化,3,,,豪山龍の紅鱗,5,豪山龍の甲岩殻,6,ドラグライト鉱石,5,豪龍岩,3
常磐【具足】,2,1,3,0,4,6,26,112,2,1,-3,2,-3,抜刀減気,3,達人,4,底力,-3,スタミナ,1,,,豪山龍の紅鱗,5,豪山龍の甲岩殻,6,ドラグライト鉱石,5,豪龍岩,3
八千代【袴】,2,2,3,0,4,6,13,62,3,2,-2,3,-2,装填速度,-3,スタミナ,2,無傷,3,貫通弾強化,3,,,豪山龍の紅鱗,5,豪山龍の甲岩殻,6,ドラグライト鉱石,5,豪龍岩,3
キリンレガース,0,1,3,2,3,6,26,112,-2,-2,4,0,2,属性耐性,1,運気,-2,属性攻撃,3,,,,,キリンの皮,7,キリンの雷角,1,怪鳥の鱗,5,電気袋,3
キリンブーツ,0,2,3,2,3,6,13,62,-1,-1,5,1,3,属性耐性,1,運気,-2,属性攻撃,3,,,,,キリンの皮,7,キリンの雷角,1,怪鳥の鱗,5,電気袋,3
暁丸【具足】,1,1,3,2,99,6,26,112,-2,2,0,2,-4,剣術,2,スタミナ,-1,重撃,3,加護,2,,,老山龍の大爪,3,老山龍の甲殻,5,雌火竜の棘,2,,
曙丸【具足】,1,2,3,1,99,6,13,62,-1,3,1,3,-3,スタミナ,-1,重撃,3,装填数,2,加護,2,,,老山龍の大爪,3,老山龍の甲殻,5,雌火竜の棘,2,,
凛【袴】,2,1,3,2,99,6,26,112,-2,2,0,2,-4,剣術,2,スタミナ,-1,重撃,3,加護,2,,,老山龍の大爪,3,老山龍の甲殻,5,雌火竜の棘,2,,
艶【袴】,2,2,3,1,99,6,13,62,-1,3,1,3,-3,スタミナ,-1,重撃,3,装填数,2,加護,2,,,老山龍の大爪,3,老山龍の甲殻,5,雌火竜の棘,2,,
ブラックレザーレグス,0,1,7,1,1,99,15,109,2,2,2,2,2,底力,10,,,,,,,,,モンハン部入部届,3,翼蛇竜の皮,6,,,,
ブラックレザーパンツ,0,2,7,1,1,99,8,63,3,3,3,3,3,底力,10,,,,,,,,,モンハン部入部届,3,翼蛇竜の皮,6,,,,
ブルースターブーツ,0,1,7,2,1,99,26,110,1,1,1,1,1,闘魂,2,水属性攻撃,4,采配,2,,,,,スタジオパス,1,火竜の尻尾,4,火竜の逆鱗,1,狂竜結晶の欠片,3
ブルースターフット,0,2,7,2,1,99,13,64,2,2,2,2,2,闘魂,2,水属性攻撃,4,采配,2,,,,,スタジオパス,1,火竜の尻尾,4,火竜の逆鱗,1,狂竜結晶の欠片,3
ブレイブＳグリーヴ,0,1,4,0,4,99,18,100,3,0,0,0,2,体力,-1,回復速度,1,乗り,4,,,,,天空の結晶,3,上質な毛皮,1,上質な鳥竜骨,2,大地の結晶,2
